adress,issues_date,lic_status,license,name,url
"AMIN NARGIS Lic. Status: Issued
1724 N SALISBURY BLVD UNIT 2 License: 22173807
SALISBURY, MD 21801 Issued Date: 4/27/2017
Wicomico County",4/27/2017,Issued,22173807,VAPE IT STORE I,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=PYc0oqEAnBc%3D
"AMIN NARGIS Lic. Status: Issued
1015 S SALISBURY BLVD License: 22173808
SALISBURY, MD 21801 Issued Date: 4/27/2017
Wicomico County",4/27/2017,Issued,22173808,VAPE IT STORE II,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=3Cdtgrdpq1s%3D
"ANJ DISTRIBUTIONS LLC Lic. Status: Issued
2299 JOHNS HOPKINS ROAD License: 02104436
GAMBRILLS, MD 21054 Issued Date: 4/05/2017
Anne Arundel County",4/05/2017,Issued,02104436,VAPEPAD THE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=8EHs73V1MEw%3D
"COX TRADING COMPANY L L C Lic. Status: Issued
110 S. PINEY RD License: 17165957
CHESTER, MD 21619 Issued Date: 5/31/2017
Queen Anne's County",5/31/2017,Issued,17165957,VAPE FROG,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=IKISV9johyM%3D
"COX TRADING LLC Lic. Status: Pending
346 RITCHIE HIGHWAY
SEVERNA PARK, MD 21146
Anne Arundel County",,Pending,,VAPE FROG,
"DISBROW II EMERSON HARRINGTON Lic. Status: Issued
185 MITCHELLS CHANCE RD License: 02102408
EDGEWATER, MD 21037 Issued Date: 4/13/2017
Anne Arundel County",4/13/2017,Issued,02102408,VAPE LOFT (THE),https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=jV5%2Be2onDGQ%3D
"DISCOUNT TOBACCO ESSEX LLC Lic. Status: Issued
7104 MINSTREL UNIT #7 License: 13141786
COLUMBIA, MD 21045 Issued Date: 5/19/2017
Howard County",5/19/2017,Issued,13141786,VAPE N CIGAR,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=roqimcBQlDg%3D
"FAIRGROUND VILLAGE LLC Lic. Status: Issued
330 ONE FORTY VILLAGE ROAD License: 06126253
WESTMINSTER, MD 21157 Issued Date: 4/21/2017
Carroll County",4/21/2017,Issued,06126253,VAPE DOJO,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=SXPH2cn7TnA%3D
"GRIMM JENNIFER Lic. Status: Pending
29890 THREE NOTCH ROAD
CHARLOTTE HALL, MD 20622
St. Mary's County",,Pending,,VAPE HAVEN,
"HUTCH VAPES LLC Lic. Status: Issued
356 ROMANCOKE ROAD License: 17166688
STEVENSVILLE, MD 21666 Issued Date: 4/13/2017
Queen Anne's County",4/13/2017,Issued,17166688,VAPE BIRD,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=1EywMFZ8LjQ%3D
"HUTCHINS COX LLP Lic. Status: Pending
110 S PINEY ROAD STE 106
CHESTER, MD 21619
Queen Anne's County",,Pending,,VAPE FROG,
"JAMESON WILLIAM Lic. Status: Issued
28943 THREE NOTCH ROAD License: 18167503
MECHANICSVILLE, MD 20659 Issued Date: 5/17/2017
St. Mary's County",5/17/2017,Issued,18167503,VAPORS LOUNGE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=tFFmBRV8TQw%3D
"JAMESON WILLIAM E Lic. Status: Pending
6843 CRAIN HIGHWAY
LA PLATA, MD 20646
Charles County",,Pending,,VAPORS LOUNGE,
"JEFFERS MICHAEL Lic. Status: Pending
6321 OLD BRANCH AVE
CAMP SPRINGS, MD 20748
St. Mary's County",,Pending,,VAPIST MD,
"JEFFERS MICHAEL W Lic. Status: Pending
6321 OLD BRANCH AVE
CAMP SPRINGS, MD 20748
Prince George's County",,Pending,,VAPIST MD LLC,
"SHIN JENNY Y Lic. Status: Pending
7954 B AND A BLVD
GLEN BURNIE, MD 21060
Anne Arundel County",,Pending,,VAPERTETMD,
"SHIN JENNY YOUNG Lic. Status: Pending
6325 WASHINGTON BLVD
ELKRIDGE, MD 21075
Howard County",,Pending,,VAPERTEKMD,
"TAYLOR TRAVIS Lic. Status: Pending
3203 NORTH POINT RD
BALTIMORE, MD 21222
Baltimore County",,Pending,,VAPORIOT,
"TRUE ENTERPRISE INC Lic. Status: Issued
519 LINDEN AVENUE UNIT 6 License: 23178140
POCOMOKE CITY, MD 21851 Issued Date: 5/05/2017
Worcester County",5/05/2017,Issued,23178140,VAPE PLUS,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=azz0q%2BpShNM%3D
"VAPE SOCIAL LLC Lic. Status: Issued
16521 S FREDERICK AVE License: 15155429
GAITHERSBURG, MD 20877 Issued Date: 4/18/2017
Montgomery County",4/18/2017,Issued,15155429,VAPE SOCIAL,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=c0Djt3GryQY%3D
