"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2467703910.61453","","","","","","",
"Afghanistan","AFG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8013233121.55065","8689883606.07776","8781610175.40574","9762978844.07633","10305228125.1392","11721187594.2052","12144482858.18","14697331940.6464","15936800636.2487","16911126453.2276","19352203805.6294","19731337260.6378","19990317160.6756","20158379460.8499","",
"Angola","AGO","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","27308217745.3027","28072847844.34","30290602825.0746","31986876577.4349","32114824089.7994","32018479611.528","31634257859.5578","29451494066.6941","22176975036.2843","22953169160.1838","25340298757.1282","28178412209.4545","30404506776.7536","32473461135.5772","33525536222.4799","34535350910.2526","35993076035.6583","33494990431.6857","35252638225.9501","39087976314.0264","46226007691.4898","55811028114.6479","68420444001.4995","77874196512.1845","79753199398.1396","82470913120.7314","85702615836.4404","90120963241.2186","96261432368.2645","100886286610.958","103919917621.964","",
"Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","5442066397.01561","5754747683.12714","5924431989.29393","5989893305.38692","5914924001.80094","6020247738.65436","6359623744.65989","6309519916.50207","6219922230.18591","6831747927.65999","6177564327.59596","4349684961.91377","4036507645.2428","4424012379.66761","4791205407.03519","5428435725.51634","5922423376.53832","5280559675.00989","5756277509.39418","6533442515.91879","6969002334.99895","7522364217.14786","7840663356.04719","8293343315.50901","8766856444.58233","9268392517.27704","9771760095.12554","10348293941.5853","11127520474.2981","11500292411.1744","11926953258.916","12231090567.6672","12404772053.5014","12542465022.373","12768229392.5364","13125739815.5958","",
"Andorra","AND","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","1022932332.66155","1070493217.13327","1157735668.39256","1247905531.22206","1318022719.04584","1325169112.8123","1368949878.34546","1407808555.10435","1428404796.78457","1428998401.75321","1460561083.95533","1458626212.79457","1476807421.32729","1502948659.99802","1529771584.74417","1565284207.62961","1616207939.64882","1705860968.59107","1792763090.90472","1879300379.21772","1950364010.52932","2000020334.24944","2018604762.32349","1997783176.95569","2045394099.72153","2101795825.39904","2199523869.73738","2398969484.18624","2475611528.47243","2577088846.22554","2607132215.01776","2765301206.37186","2943022832.5185","3296889535.81886","3562932178.37276","3842255532.55173","4018434882.50965","4021570844.09338","3675946750.20161","3535599617.02825","3346516556.29139","3185794241.02485","3129723933.36389","3127736110.72066","","","",
"Arab World","ARB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","503995566730.833","568993404145.723","618205624002.425","630012503496.875","696711292617.645","766899441002.632","797399391808.961","772594300253.724","751064970982.934","763872946977.399","759807561904.142","763370637595.567","767987333945.059","797004452599.072","816220897327.03","904256278058.229","893520164439.935","939064480950.054","977091772522.76","1010676984550.61","1040243451766.39","1090782730947.45","1143768857038.79","1204186097605.08","1240869964070.3","1304557724324.66","1333261522264.26","1353249081306.59","1410539357136","1547560330831.56","1642773922411.43","1762894802098.04","1862466482823.68","1979774397239.6","2009720596004.73","2103838826684.44","2174814625418.89","2292970547130.22","2371927022016.64","2437116974564.33","2514715911565.73","",
"United Arab Emirates","ARE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","56055910245.8874","65320190085.0028","79324401299.9504","78063457999.0639","94397122679.5038","116934223224.751","122382395272.355","114159135175.852","108741347314.058","113109434263.341","109043742199.088","92732830339.853","95869037705.1546","93358316076.0813","104876763630.375","124098561674.11","125165910996.616","129352641718.644","130984025532.437","140016878503.469","149381048378.398","158042765139.576","170987097645.472","171486370299.358","176463271145.714","195614307991.47","198351118486.849","203177907295.223","221058661957.923","242206098797.029","253965546877.264","278948949835.963","287831772785.526","297018891707.595","281446423169.577","286049336038.121","300946210244.793","321388347611.207","336586472482.902","346952946507.636","359990199104.316","",
"Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","115573868504.046","121847036496.22","120808873519.548","114396100729.232","125984766246.177","139300642133.553","138381639340.2","142798776595.304","149685248712.708","164174071292.097","169174227925.941","178746327500.949","181657062220.174","186764812007.835","197100011382.724","197044011124.936","193067167381.889","206454730035.275","197151622239.269","217305966247.949","226327993522.518","213450998958.776","202869851889.715","210731309040.546","215392208298.058","199051096774.704","214727922906.705","220976490712.708","215326332044.77","199185061971.014","194406693564.187","219037458037.428","245192227480.876","259675534958.328","274830720356.865","267011210288.47","281768091684.839","304622433386.434","316350941893.793","305641016658.342","303229512279.585","289860609212.892","258281789118.134","281106256190.546","306488951650.082","333618311340.725","360465082298.258","392934518452.98","408876787806.328","384677312572.276","423627422103.855","449061807869.471","444452545581.639","455637537979.26","444189119367.708","455948010971.24","",
"Armenia","ARM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6357857589.67955","5613988348.21507","3267341064.35725","2979815090.15052","3140725188.15958","3357435176.11712","3554362204.05763","3672405405.53258","3940491000.13646","4070527203.14096","4310688308.12627","4722645335.72382","5345387542.756","6095922452.58145","6734033975.06956","7667755681.51717","8679746345.92191","9873142200.51879","10554389012.5207","9060944166.21842","9260284937.79782","9695518329.74638","10393595649.8063","10736584306.437","11123101341.4688","11456794381.7128","",
"American Samoa","ASM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623365638.76652","628440528.634361","631823788.546256","629286343.612335","603066079.295154","614907488.986784","598837004.405286","573462555.066079","576000000","577691629.955947","552317180.61674","534555066.079295","542167400.881057","548088105.726872","",
