,age,date,disabled,members
0,40 ,0510-02011 03:15 PM ,No ,1 
1,54 ,0511112011 02:31 PM , ,1 
2,51 ,051111201 1 02:32 PM ,No ,1 
3, ,0511112011 02:32 PM , ,1 
4,43 ,0511110011 1:12:32 PM ,No ,1 
5,d0 ,0511 1.12011 1:12:35 PM , ,1 
6,:14] ,0511112011 02:35 PM ,1'35 ,'|! 
7,34 ,0511112011 02:35 PM ,Yes ,1 
8,2? ,030312011 12:15 PM ,NE! ,T 
9,44 ,01510312011 12:15 PM , ,1. 
10,55 ,W11 12:15 PM ,No ,I 
11,51 ,06108-12011 12:15 PM , ,2 
12, ,030312011 12:11r PM ,Yes ,1 
13,53 ,W” 13:1? PM ,‘raa ,1 
14,EB ,MWH 12:1? PM ,YES- ,1 
15,49 ,0310312011 12:15 PM ,‘s‘ﬁs ,'I 
16,25 ,0310312011 12:13 PM ,ND ,1 
17,49 ,0510512011 13:13 PM , ,1 
18,29 ,00110912011 05:35 PM ,Yes ,1 
19,49 ,01310312011 05:35 PM ,ND ,‘I 
20,56 ,05121121011 12:51 PM , ,1 
21,46 ,031211211111 12:51 PM ,Na ,‘I 
22,43 ,0312112011 03:40 PM , ,1 
23,55 ,0110112011 01:10 PM ,No ,1 
24,56 ,0110113011 01:11 PM , ,1 
25,48 ,0110112011 01:11 PM ,Yes. ,"""I "
26,53 ,01110112011 01:11 PM ,NI: ,1 
27,52 ,0110112011 01:11 PM , ,‘I 
28,43 ,0111412011 04:55 PM ,ND ,1 
29,59 ,1.1111 112011 04:55 PM , ,I 
30,60 ,0111112011 04:55 PM ,Yea ,‘I 
31,4E ,01.11 412011 05:53 PM ,Yea ,1 
32,33 ,0112212011 00:23 AM ,Yes ,1 
33,55 ,"031135.120"" 03:35 AM ",Yes ,'l 
34,55 ,031315121011 03:35 N11 ,Yea ,1 
35,as ,0310312011 03:43 PM ,Yes ,1 
36,5? ,0311 1.121111 04.1.14 PM ,No ,1 
37,M: ,{13.11 1.12011 0-1101 PM , ,1 
38,ED ,03.11 1.12011 04:04 PM ,Yes ,1 
39,33 ,05113-12011 03:45 PM ,Nu ,1 
40,49 ,0313512011 1:14:21 PM , ,'I 
41,4? ,0321512011 04:21 PM ,Yes ,t 
42,E51 ,0312512011 04:21 PM ,Yes ,1 
43, ,09.102120“ 03:11 AM ,Yes ,1 
44,25 ,W11 02:52 PM ,Yes- ,1 
45,2? ,09103’201 1 01 :53 PM ,Yes ,1 
46,d9 ,0911212011 1221 PM ,Yes ,1 
47,:16 ,0911512011 11:40 AM ,Yes ,1 
48,m ,0312013011 02:30 PM ,Yes ,2 
49,59 ,091'20-“2011 02:50 PM ,Yes ,1 
50,52 ,0312012011 02:51 PM ,Yas- ,'I 
51,53 ,0332592011 02:51 PM ,No ,1 
52,23 ,1030012011 12:54 PM , ,1 
53,55 , ,$65 , 
54,51 ,"11!1T.""20110d:12 PM ",Yes ,'I 
55, ,01f05’201 E 04:39 PM ,YES ,1 
56,42 ,01(254'2012 03:52 ”A ,V55 ,1 
57, ,0203:0012 10:22 AM ,V35 ,.2 
58,?0 ,0W09.I'2012 11:40 AM ,Yas ,1 
59,6'3- ,02109-13012 11:43 RM ,V95 ,1 
60,I52 ,02.00.1201? 01:31PM ,Yes ,'II 
61,E? ,112-115-9013 '01 :31 PM ,No ,1 
62,as ,0305:1201}! 03:2? NM , ,1 
63,65 ,0311519012 03:30 N11 ,Yes ,1 
