last_name,first_name,birthdate,nationality
Abu-Assad,Hany,11 October 1961,Israel
Adamson,Andrew,1 December 1966,New Zealand
Ade,Maren,12 December 1976,Germany
Aduaka,Newton I.,1966,Nigeria
Akerman,Chantal,6 June 1950,Belgium
Akin,Fatih,25 August 1973,West Germany
Akomfrah,John,1957,UK
Alfredson,Tomas,1 April 1965,Sweden
Allen,Woody,1 December 1935,USA
Altman,Robert,20 February 1925,USA
Altman,Robert Reed,22 December 1959,USA
Andersen,Thom,1943,USA
Anderson,Laurie,5 June 1947,USA
Anderson,Paul Thomas,26 June 1970,USA
Anderson,Wes,1 May 1969,USA
Andersson,Roy,31 March 1943,Sweden
Antonioni,Michelangelo,29 September 1912,Italy
Arnold,Andrea,5 April 1961,UK
Aronofsky,Darren,12 February 1969,USA
Arteta,Miguel,1965,Puerto Rico
Arthus-Bertrand,Yann,13 March 1946,France
Asante,Amma,1969,UK
Assayas,Olivier,25 January 1955,France
Audiard,Jacques,30 April 1952,France
Bahrani,Ramin,20 March 1975,USA
Baker,Sean,1989,UK
Banerjee,Dibakar,21 June 1969,India
Baumbach,Noah,3 September 1969,USA
Bay,Michael,17 February 1965,USA
Beauvois,Xavier,20 March 1967,France
Becker,Wolfgang,22 June 1954,Germany
Bellocchio,Marco,9 November 1939,Italy
Benigni,Roberto,27 October 1952,Italy
Benvenuti,Paolo,30 January 1946,Italy
Berger,Pablo,1963,Spain
Bergman,Ingmar,14 July 1918,Sweden
Berman,Shari Springer,13 July 1963,USA
Bier,Susanne,15 April 1960,Denmark
Bigelow,Kathryn,27 November 1951,USA
Bird,Brad,24 September 1957,USA
Black,Shane,16 December 1961,USA
Blair,Wayne,28 November 1971,Australia
Blomkamp,Neill,17 September 1979,South Africa
Bouchareb,Rachid,1 September 1959,France
Breillat,Catherine,13 July 1948,France
Brisseau,Jean-Claude,17 July 1944,France
Buck,Chris,24 February 1958,USA
Burnett,Charles,13 April 1944,USA
Cameron,James,16 August 1954,Canada
