id,first_name,last_name
0,David,Lynch
1,Wong,Kar-wai
2,Terrence,Malick
3,Edward,Yang
4,Jean-Luc,Godard
5,Mohammad,Rasoulof
6,Raoul,Ruiz
7,Abbas,Kiarostami
8,Johnnie,To
9,Carlos,Saura
10,Michel,Gondry
11,Apichatpong,Weerasethakul
12,Hayao,Miyazaki
13,Joshua,Oppenheimer
14,Wes,Anderson
15,Jia,Zhangke
16,Gus Van,Sant
17,Kathryn,Bigelow
18,David,Cronenberg
19,Sarah,Polley
20,Martin,Campbell
21,Miguel,Gomes
22,Pablo,Berger
23,Courtney,Hunt
24,Robert,Altman
25,Christopher,Nolan
26,Guillermo Del,Toro
27,Michael,Haneke
28,Werner,Herzog
29,Cristian,Mungiu
30,Leos,Carax
31,Claude,Lanzmann
32,Paul Thomas,Anderson
33,Kenneth,Lonergan
34,Mary,Harron
35,Jessica,Hausner
36,Andrea,Arnold
37,Richard,Linklater
38,Pablo,Larraín
39,Joel,
40,Ethan,Coen
41,Asghar,Farhadi
42,Andrew,Stanton
43,Zhang,Yimou
44,Martin,Scorsese
45,Bong,Joon-ho
46,Paul,Greengrass
47,Steven,Soderbergh
48,Danièle,Huillet
49,Jean-Marie,Straub
50,Marco,Bellocchio
51,Michelangelo,Frammartino
52,Ermanno,Olmi
53,Paolo,Benvenuti
54,Luigi M.,Faccini
55,Franco,Piavoli
56,Pippo,Delbono
57,Marco De,Angelis
58,Antonio Di,Trapani
59,Yervant,Gianikian
60,Angela Ricci,Lucchi
61,Charlie,Kaufman
62,Darren,Aronofsky
63,Rick,Alverson
64,Lars von,Trier
65,Quentin,Tarantino
66,Jim,Jarmusch
67,Ari,Folman
68,Spike,Lee
69,Michael,Winterbottom
70,Nuri Bilge,Ceylan
71,David,Fincher
72,Tomas,Alfredson
73,Shane,Carruth
74,Peter,Watkins
75,Spike,Jonze
76,Carlos,Reygadas
77,Alfonso,Cuarón
78,Fernando,Meirelles
79,Kátia,Lund
80,Brad,Bird
81,Alejandro González,Iñárritu
82,Ang,Lee
83,Steve,McQueen
84,Xavier,Dolan
85,Pedro,Almodóvar
86,Abderrahmane,Sissako
87,Ava,DuVernay
88,Lucrecia,Martel
89,Todd,Haynes
90,Sofia,Coppola
91,Tom,Ford
92,Lee,Unkrich
93,Luca,Guadagnino
94,Richard,Kelly
95,Evan,Goldberg
96,Seth,Rogen
97,Chantal,Akerman
98,Jacques,Rivette
99,Jonathan,Glazer
100,Duke,Johnson
101,Eric,Darnell
102,Tom,McGrath
103,Conrad,Vernon
104,Mike,Leigh
105,Julian,Schnabel
106,Nanni,Moretti
107,Mariano,Llinás
108,Hou,Hsiao-hsien
109,Clint,Eastwood
110,Andrey,Zvyagintsev
111,Jacques,Audiard
112,Abdellatif,Kechiche
113,Ousmane,Sembène
114,Juan José,Campanella
115,Park,Chan-wook
116,Catherine,Breillat
117,J. A.,Bayona
118,Thomas,Vinterberg
119,Harmony,Korine
120,Guy,Maddin
121,Roman,Polanski
122,Baz,Luhrmann
123,George,Lucas
124,Pacho,Velez
125,Stephanie,Spray
126,Roy,Andersson
127,Jihan,El-Tahri
128,Mahamat-Saleh,Haroun
129,Ngozi,Onwurah
130,Bazi,Gete
131,Jean-Marie,Téno
132,Andrew,Dosunmu
133,Khalo,Matabane
134,Amma,Asante
135,Jean-Pierre,
136,Luc,Dardenne
137,Gaspar,Noé
138,Mira,Nair
139,László,Nemes
140,Raam,Reddy
141,Danis,Tanovic
142,Josephine,Decker
143,Josh,
144,Benny,Safdie
145,Miranda,July
146,Sara,Fattahi
147,Avi,Nesher
148,Joseph,Cedar
149,Eytan,Fox
150,Jennifer,Kent
151,Kim,Ki-duk
152,Aleksandr,Sokurov
153,Pete,Docter
154,Vincent,Paronnaud
155,Marjane,Satrapi
156,George,Miller
157,Joe,Cornish
158,Jan,Pinkava
159,Steven,Spielberg
160,Lee,Chang-dong
161,Claire,Denis
162,Tommy Lee,Jones
163,Takeshi,Kitano
164,Alain,Gomis
165,Ken,Loach
166,Newton I.,Aduaka
167,Cameron,Crowe
168,Aleksey,German
169,Larry,Charles
170,Don,Hertzfeldt
171,Alex,Garland
172,Joss,Whedon
173,Neill,Blomkamp
174,Whit,Stillman
175,Lav,Diaz
176,Kiyoshi,Kurosawa
177,Takahisa,Zeze
178,David O.,Russell
179,Susanne,Bier
180,Jørgen,Leth
181,Paweł,Pawlikowski
182,Hirokazu,Koreeda
183,Damián,Szifrón
184,Bouli,Lanners
185,John,Akomfrah
186,Judy,Kibinge
187,Samba,Gadjigo
188,Jason,Silverman
189,Emad,Burnat
190,Guy,Davidi
191,Nanfu,Wang
192,Boo,Junfeng
193,Eric,Khoo
194,Jack,Neo
195,K.,Rajagopal
196,Tan Pin,Pin
197,Royston,Tan
198,Kelvin,Tong
199,Andrew,Haigh
200,David,France
201,Robert,Pulcini
202,Shari Springer,Berman
203,Travis,Wilkerson
204,Gina,Prince-Bythewood
205,Robert,Greene
206,Jacob,Krupnick
207,Michael,Mann
208,John,Crowley
209,Dan,Gilroy
210,Jeff,Nichols
211,Asif,Kapadia
212,Noah,Baumbach
213,Yorgos,Lanthimos
214,Andrzej,Wajda
215,Joanna,Hogg
216,Elia,Suleiman
217,Jafar,Panahi
218,Sam,Raimi
219,Chris,Buck
220,Jennifer,Lee
221,Edgar,Wright
222,Fatih,Akin
223,Alexander,Payne
224,Destin Daniel,Cretton
225,Derek,Cianfrance
226,Fabián,Bielinsky
227,Hong,Sang-soo
228,Greg,Mottola
229,Kevin,Costner
230,John,Gianvito
231,Frederick,Wiseman
232,Sion,Sono
233,Denis,Villeneuve
234,Damien,Chazelle
235,David,Michôd
236,Mel,Gibson
237,Stevan,Riley
238,Adam,McKay
239,Paul,Feig
240,Lynne,Ramsay
241,Miguel,Arteta
242,Ridley,Scott
243,Adam,Curtis
244,Lukas,Moodysson
245,Brian De,Palma
246,Mojtaba,Mirtahmasb
247,James,Gray
248,Laurie,Anderson
249,Florian Henckel von,Donnersmarck
250,Béla,Tarr
251,Ágnes,Hranitzky
252,Jean-Gabriel,Périot
253,Alain,Guiraudie
254,Pedro,Costa
255,Albert,Serra
256,Cristi,Puiu
257,Ingmar,Bergman
258,Ulrich,Seidl
259,Wang,Bing
260,Alain,Cavalier
261,Ken,Jacobs
262,Phil,Solomon
263,Lewis,Klahr
264,Ernie,Gehr
265,Janie,Geiser
266,Nikolaus,Geyrhalter
267,Rajat,Kapoor
268,Chaitanya,Tamhane
269,Dibakar,Banerjee
270,Anurag,Kashyap
271,Tigmanshu,Dhulia
272,Vikramaditya,Motwane
273,Sudhir,Mishra
274,Vishal,Bhardwaj
275,Ashutosh,Gowariker
276,Éric,Rohmer
277,Aleksey,Fedorchenko
278,Michael,Bay
279,Ryan,Coogler
280,Rian,Johnson
281,Tsai,Ming-liang
282,Sean,Baker
283,Tony,Scott
284,Carol,Morley
285,Agnès,Varda
286,Raoul,Peck
287,Gabriela,Pichler
288,J. J.,Abrams
289,Xavier,Beauvois
290,Philip,Gröning
291,Benh,Zeitlin
292,Mike,Judge
293,Tony,Gilroy
294,George,Clooney
295,Philip,Kaufman
296,Wayne,Blair
297,Nadine,Labaki
298,Scandar,Copti
299,Yaron,Shani
300,Shimit,Amin
301,Jean-Pierre,Jeunet
302,James,Cameron
303,Paolo,Sorrentino
304,Mia,Hansen-Løve
305,Terry,Zwigoff
306,Kelly,Reichardt
307,Maren,Ade
308,Arnaud,Desplechin
309,Olivier,Assayas
310,Víctor,Gaviria
311,Philippe,Garrel
312,Jean-Charles,Fitoussi
313,Christian,Petzold
314,Jonas,Mekas
315,Michel,Hazanavicius
316,Tom,Hooper
317,Jean-Marc,Vallée
318,Naji Abou,Nowar
319,Bahman,Ghobadi
320,James,Marsh
321,Rachid,Bouchareb
322,Andrzej,Zulawski
323,François,Ozon
324,Corneliu,Porumboiu
325,Jeff,Tremaine
326,Peter,Mullan
327,David,Wain
328,Robert,Zemeckis
329,Satoshi,Kon
330,Terry,George
331,Debra,Granik
332,Duncan,Jones
333,Agnès,Jaoui
334,Andrew,Dominik
335,Peter,Jackson
336,Nouri,Bouzid
337,Rehad,Desai
338,Mohamed,Diab
339,Oliver,Schmitz
340,Tom,McCarthy
341,Dror,Moreh
342,Thom,Andersen
343,Mark,Neveldine
344,Brian,Taylor
345,Patricio,Guzmán
346,Víctor,Erice
347,Stephen,Chow
348,Peter,Tscherkassky
349,Philippe,Grandrieux
350,Joseph,Kahn
351,Rita Azevedo,Gomes
352,Sidney,Lumet
353,Woody,Allen
354,Alain,Resnais
355,Manoel de,Oliveira
356,Michelangelo,Antonioni
357,Charles,Burnett
358,John Cameron,Mitchell
359,Kinji,Fukasaku
360,André,Singer
361,Christopher,Guest
362,Wolfgang,Becker
363,Uli,Edel
364,Nick,Cassavetes
365,Jason,Reitman
366,Ben,Stiller
367,Stephen,Frears
368,Bart,Layton
369,Ana Lily,Amirpour
370,S. Craig,Zahler
371,Luke,Fowler
372,Terence,Davies
373,Steven,Knight
374,Cary Joji,Fukunaga
375,Ben,Rivers
376,Pietro,Marcello
377,Naomi,Kawase
378,Francis Ford,Coppola
379,João Pedro,Rodrigues
380,Nina,Paley
381,Gurinder,Chadha
382,Hany,Abu-Assad
383,Sam,Mendes
384,Peter,Weir
385,Tomm,Moore
386,David,Silverman
387,Clio,Barnard
388,Christian,Marclay
389,Patty,Jenkins
390,Roberto,Benigni
391,Eran,Riklis
392,Annemarie,Jacir
393,Ramin,Bahrani
394,Yann,Arthus-Bertrand
395,Nicolas Winding,Refn
396,Andrew,Lau
397,Alan,Mak
398,Andrew,Adamson
399,Vicky,Jenson
400,Ossama,Mohammed
401,Mani,Haghighi
402,Mohamed,Soueid
403,Karim,Aïnouz
404,Marcelo,Gomes
405,Lucien,Castaing-Taylor
406,Verena,Paravel
407,Mike,Mills
408,Ronit,Elkabetz
409,Shlomi,Elkabetz
410,Gareth,Edwards
411,Céline,Sciamma
412,Trey,Parker
413,Jane,Campion
414,Ben,Wheatley
415,Shane,Black
416,Michael,Moore
417,Warwick,Thornton
418,Aki,Kaurismäki
419,Jean-Claude,Brisseau
420,Patrick,Wang
421,Pirjo,Honkasalo
422,Kleber Mendonça,Filho
423,Eran,Kolirin
424,Laurent,Cantet
425,Agnieszka,Holland
426,Kim,Jee-woon
427,Anthony,
428,Joe,Russo
429,Richard,Curtis
