last_name,first_name
Abou Nowar,Naji
Alverson,Rick
Amirpour,Ana Lily
Barnard,Clio
Bhardwaj,Vishal
Bielinsky,Fabián
Bing,Wang
Bouzid,Nouri
Burnat,Emad
Campanella,Juan José
Castaing-Taylor,Lucien
Chan-wook,Park
Chang-dong,Lee
Darnell,Eric
De Angelis,Marco
Decker,Josephine
Del Toro,Guillermo
Delbono,Pippo
Desai,Rehad
Dhulia,Tigmanshu
Di Trapani,Antonio
Diab,Mohamed
Dosunmu,Andrew
El-Tahri,Jihan
Elkabetz,Shlomi
Erice,Víctor
Faccini,Luigi M.
Fattahi,Sara
Fowler,Luke
Gadjigo,Samba
Gaviria,Víctor
Gete,Bazi
Gianvito,John
Goldberg,Evan
Gomes,Rita Azevedo
González Iñárritu,Alejandro
Grandrieux,Philippe
Gröning,Philip
Guzmán,Patricio
Haghighi,Mani
Haigh,Andrew
Hansen-Løve,Mia
Hranitzky,Ágnes
Hsiao-hsien,Hou
Huillet,Danièle
Jaoui,Agnès
Jee-woon,Kim
Jenson,Vicky
Joon-ho,Bong
Junfeng,Boo
Kar-wai,Wong
Kaurismäki,Aki
Kent,Jennifer
Ki-duk,Kim
Kibinge,Judy
Klahr,Lewis
Kolirin,Eran
Krupnick,Jacob
Larraín,Pablo
Lau,Andrew
Layton,Bart
Leth,Jørgen
Llinás,Mariano
Lund,Kátia
Marclay,Christian
Matabane,Khalo
Mendonça Filho,Kleber
Michôd,David
Ming-liang,Tsai
Mirtahmasb,Mojtaba
Mishra,Sudhir
Moreh,Dror
Nemes,László
Neo,Jack
Noé,Gaspar
Ozon,François
Paravel,Verena
Pawlikowski,Paweł
Pichler,Gabriela
Pin,Tan Pin
Périot,Jean-Gabriel
Rajagopal,K.
Reddy,Raam
Reichardt,Kelly
Riley,Stevan
Rivers,Ben
Rodrigues,João Pedro
Rohmer,Éric
Sang-soo,Hong
Sciamma,Céline
Sembène,Ousmane
Silverman,Jason
Soueid,Mohamed
Spray,Stephanie
Szifrón,Damián
Tamhane,Chaitanya
Thornton,Warwick
Tremaine,Jeff
Vallée,Jean-Marc
Varda,Agnès
Velez,Pacho
Wang,Nanfu
Wang,Patrick
Wen,Jiang
Yimou,Zhang
Zhangke,Jia
