id,release_year,title
0,2001,Mulholland Drive
1,2000,In the Mood for Love
2,2011,The Tree of Life
3,2000,Yi Yi: A One and a Two
4,2014,Goodbye to Language
5,2009,The White Meadows
6,2012,Night Across the Street
7,2010,Certified Copy
8,2008,Sparrow
9,2007,Fados
10,2004,Eternal Sunshine of the Spotless Mind
11,2006,Syndromes and a Century
12,2001,Spirited Away
13,2012,The Act of Killing
14,2014,The Grand Budapest Hotel
15,2004,The New World
16,2004,The World
17,2003,Elephant
18,2012,Zero Dark Thirty
19,2005,A History of Violence
20,2012,Stories We Tell
21,2006,Casino Royale
22,2012,Tabu
23,2012,Snow White
24,2008,Frozen River
25,2001,Gosford Park
26,2010,Inception
27,2006,Pan's Labyrinth
28,2005,Caché
29,2005,Grizzly Man
30,2007,"4 Months, 3 Weeks & 2 Days"
31,2012,Holy Motors
32,2013,The Last of the Unjust
33,2007,There Will Be Blood
34,2001,The Piano Teacher
35,2011,Margaret
36,2000,American Psycho
37,2009,Lourdes
38,2006,Red Road
39,2014,Boyhood
40,2008,Tony Manero
41,2007,No Country For Old Men
42,2011,A Separation
43,2003,Finding Nemo
44,2002,Hero
45,2013,The Wolf of Wall Street
46,2009,Mother
47,2007,The Bourne Ultimatum
48,2000,Traffic
49,2006,These Encounters of Theirs
50,2009,Vincere
51,2010,Le quattro volte
52,2001,The Profession of Arms
53,2000,Gostanza da Libbiano
54,2009,Storia di una donna amata e di un assassino gentile
55,2003,At the First Breath of Wind
56,2013,Sangue
57,2015,Terra
58,2004,Oh! Man
59,2008,"Synecdoche, New York"
60,2010,Black Swan
61,2012,The Comedy
62,2011,Melancholia
63,2009,Inglourious Basterds
64,2013,Inside Llewyn Davis
65,2013,Only Lovers Left Alive
66,2013,The Congress
67,2012,The Master
68,2002,25th Hour
69,2002,24 Hour Party People
70,2011,Once Upon a Time in Anatolia
71,2007,Zodiac
72,2009,A Serious Man
73,2011,Tinker Tailor Soldier Spy
74,2004,Primer
75,2000,"La commune (Paris, 1871)"
76,2010,Uncle Boonmee Who Can Recall His Past Lives
77,2004,2046
78,2002,Adaptation
79,2005,Battle in Heaven
80,2006,Inland Empire
81,2010,Mysteries of Lisbon
82,2006,Children of Men
83,2002,City of God
84,2004,The Incredibles
85,2014,Birdman
86,2005,Brokeback Mountain
87,2013,12 Years a Slave
88,2009,Fish Tank
89,2014,Mommy
90,2002,Talk to Her
91,2014,Timbuktu
92,2014,Selma
93,2009,The White Ribbon
94,2008,The Headless Woman
95,2001,The Royal Tenenbaums
96,2002,Far From Heaven
97,2012,Moonrise Kingdom
98,2003,Lost in Translation
99,2009,A Single Man
100,2010,Toy Story 3
101,2009,I Am Love
102,2001,Donnie Darko
103,2014,Inherent Vice
104,2010,Film socialisme
105,2013,This Is the End
106,2010,Somewhere
107,2011,Almayer's Folly
108,2003,The Story of Marie and Julien
109,2000,Bamboozled
110,2013,Under the Skin
111,2015,Anomalisa
112,2012,Madagascar 3: Europe's Most Wanted
113,2010,Another Year
114,2007,The Diving Bell and the Butterfly
115,2010,The Social Network
116,2008,WALL-E
117,2001,The Son's Room
118,2008,Extraordinary Stories
119,2015,The Assassin
120,2004,Million Dollar Baby
121,2014,Leviathan
122,2013,A Touch of Sin
123,2002,Distant
124,2005,The New World
125,2009,A Prophet
126,2013,Blue Is the Warmest Color
127,2004,Moolaadé
128,2009,The Secret in Their Eyes
129,2003,Oldboy
130,2001,Fat Girl
131,2007,The Orphanage
132,2012,The Hunt
133,2012,Spring Breakers
134,2007,My Winnipeg
135,2010,The Ghost Writer
136,2001,Moulin Rouge!
137,2005,Star Wars: Episode III – Revenge of the Sith
138,2013,Manakamana
