id,full_name,nationality_code,company
0,Simon Abrams,US,Freelance film critic
1,Sam Adams,US,Freelance film critic
2,Thelma Adams,US,Freelance film critic
3,Arturo Aguilar,MX,Rolling Stone Mexico
4,Matthew Anderson,GB,BBC Culture
5,Tim Appelo,US,The Wrap
6,Adriano Aprà,IT,Film historian
7,Michael Arbeiter,US,Nerdist
8,Ali Arikan,TR,Dipnot TV
9,Michael Atkinson,US,The Village Voice
10,Ana Maria Bahiana,BR,Freelance film critic
11,Cameron Bailey,CA,Toronto Film Festival
12,Lindsay Baker,GB,BBC Culture
13,Miriam Bale,US,Freelance film critic
14,Nicholas Barber,GB,BBC Culture
15,Diego Batlle,AR,La Nacion
16,NT Binh,FR,Positif
17,Lizelle Bisschoff,GB,University of Glasgow
18,Christian Blauvelt,US,BBC Culture
19,Mahen Bonetti,US,African Film Festival Inc
20,Andreas Borcholte,DE,Spiegel Online
21,Utpal Borpujari,IN,Freelance film critic
22,Richard Brody,US,The New Yorker
23,Hannah Brown,IL,Jerusalem Post
24,Luke Buckmaster,AU,The Guardian/BBC Culture
25,Luciano Castillo,CU,Cinemateca de Cuba
26,Monica Castillo,US,New York Times Watching
27,Samuel Castro,CO,El Colombiano
28,Justin Chang,US,Los Angeles Times
29,Enrico Chiesa,SN,AfricaFilms.TV
30,Cho Seongyong,KR,Freelance film critic
31,Robbie Collin,GB,The Telegraph
32,Scott Collura,US,IGN
33,Colin Covert,US,Minneapolis Star-Tribune
34,Oggs Cruz,PH,Rappler.com
35,Ken Dancyger,US,New York University
36,Erik Davis,US,Fandango
37,Peter Debruge,US,Variety
38,Fernand Denis,BE,La Libre Belgique
39,Lindiwe Dovey,GB,University of London
40,Alonso Duralde,US,TheWrap
41,Bilge Ebiri,US,The Village Voice
42,David Ehrlich,US,IndieWire
43,Kate Erbland,US,IndieWire
44,Mario Espinosa,CU,Cinemateca de Cuba
45,Joseph Fahim,EG,Freelance film critic
46,Devin Faraci,US,Birth.Movies.Death.
47,David Fear,US,Rolling Stone
48,Scott Feinberg,US,The Hollywood Reporter
49,Javier Porta Fouz,AR,La Nacion
50,Kenji Fujishima,US,Freelance film critic
51,Ernesto Garratt,CL,El Mercurio
52,Steven Gaydos,US,Variety
53,Noah Gittell,US,Washington City Paper
54,Owen Gleiberman,US,Variety
55,Ed Gonzalez,US,Slant Magazine
56,Juan Carlos González,CO,El Tiempo
57,Carmen Gray,DE,Berlin Critics’ Week
58,Tim Grierson,US,Screen International
59,Jean-Philippe Guerand,FR,L'Avant-Scène Cinéma
60,Antoine Guillot,FR,France Culture
61,Tom Gunning,US,University of Chicago
62,Shubhra Gupta,IN,The Indian Express
63,Hauvick Habechian,LB,An-Nahar Newspaper
64,Angie Han,US,Slashfilm
65,Aisha Harris,US,Slate
66,Tina Hassannia,CA,Freelance film critic
67,Shiguehiko Hasumi,JP,University of Tokyo
68,Katarina Hedrén,ZA,Freelance film critic
