id,full_name,year_of_birth,nationality_code
1,Kar-Wai Wong,1956.0,CN
2,Terrence Malick,1943.0,US
3,Edward Yang,1947.0,CN
4,Jean-Luc Godard,1930.0,FR
5,Mohammad Rasoulof,1973.0,IR
6,Raoul Ruiz,1941.0,CL
7,Abbas Kiarostami,1940.0,IR
8,Johnnie To,1955.0,HK
9,Carlos Saura,1932.0,ES
10,Michel Gondry,1963.0,FR
11,Apichatpong Weerasethakul,1970.0,TH
12,Hayao Miyazaki,1941.0,JP
13,Joshua Oppenheimer,1974.0,US
14,Anonymous,,
15,Christine Cynn,,
16,Wes Anderson,1969.0,US
17,Zhangke Jia,1970.0,CN
18,Gus Van Sant,1952.0,US
19,Kathryn Bigelow,1951.0,US
20,David Cronenberg,1943.0,CA
21,Sarah Polley,1979.0,CA
22,Martin Campbell,1943.0,NZ
23,Miguel Gomes,1972.0,PT
24,Pablo Berger,1963.0,ES
25,Courtney Hunt,1964.0,US
26,Robert Altman,1925.0,US
27,Christopher Nolan,1970.0,GB
28,Guillermo del Toro,1964.0,MX
29,Michael Haneke,1942.0,DE
30,Werner Herzog,1942.0,DE
31,Cristian Mungiu,1968.0,RO
32,Leos Carax,1960.0,FR
33,Claude Lanzmann,1925.0,FR
34,Paul Thomas Anderson,1970.0,US
35,Kenneth Lonergan,1962.0,US
36,Mary Harron,1953.0,CA
37,Jessica Hausner,1972.0,AT
38,Andrea Arnold,1961.0,GB
39,Richard Linklater,1960.0,US
40,Pablo Larraín,1976.0,CL
41,Ethan Coen,1957.0,US
42,Joel Coen,1954.0,US
43,Asghar Farhadi,1972.0,IR
44,Andrew Stanton,1965.0,US
45,Lee Unkrich,1967.0,US
46,Yimou Zhang,1951.0,CN
47,Martin Scorsese,1942.0,US
48,Joon-ho Bong,1969.0,KR
49,Paul Greengrass,1955.0,GB
50,Steven Soderbergh,1963.0,US
51,Danièle Huillet,1936.0,FR
52,Jean-Marie Straub,1933.0,FR
53,Marco Bellocchio,1939.0,IT
54,Michelangelo Frammartino,1968.0,IT
55,Ermanno Olmi,1931.0,IT
56,Paolo Benvenuti,1946.0,IT
57,Franco Piavoli,1933.0,IT
58,Chan-wook Park,1963.0,KR
59,Yann Arthus-Bertrand,1946.0,FR
60,Michael Pitiot,1970.0,
61,Yervant Gianikian,1942.0,IT
62,Angela Ricci Lucchi,1942.0,IT
63,Charlie Kaufman,1958.0,US
64,Darren Aronofsky,1969.0,US
65,Rick Alverson,,
66,Lars von Trier,1956.0,DK
67,Quentin Tarantino,1963.0,US
68,Eli Roth,1972.0,US
69,Jim Jarmusch,1953.0,US
70,Ari Folman,1962.0,IL
71,Spike Lee,1957.0,US
72,Michael Winterbottom,1961.0,GB
73,Nuri Bilge Ceylan,1959.0,TR
74,David Fincher,1962.0,US
75,Tomas Alfredson,1965.0,SE
76,Shane Carruth,1972.0,US
77,Peter Watkins,1935.0,GB
79,Carlos Reygadas,1971.0,MX
80,David Lynch,1946.0,US
81,Alfonso Cuarón,1961.0,MX
82,Fernando Meirelles,1955.0,BR
83,Kátia Lund,1966.0,BR
84,Brad Bird,1957.0,US
85,Guy Bolongaro,,
86,Ang Lee,1954.0,TW
87,Steve McQueen,1969.0,GB
88,Xavier Dolan,1989.0,CA
89,Pedro Almodóvar,1949.0,ES
90,Abderrahmane Sissako,1961.0,MR
91,Ava DuVernay,1972.0,US
92,Lucrecia Martel,1966.0,AR
93,Todd Haynes,1961.0,US
94,Sofia Coppola,1971.0,US
95,Tom Ford,1961.0,US
96,Luca Guadagnino,1971.0,IT
97,Richard Kelly,1975.0,US
98,Evan Goldberg,,
99,Seth Rogen,1982.0,CA
100,Chantal Akerman,1950.0,BE
101,Jacques Rivette,1928.0,FR
102,Jonathan Glazer,1965.0,GB
103,Duke Johnson,1979.0,US
104,Eric Darnell,,
105,Tom McGrath,1964.0,US
106,Conrad Vernon,1968.0,US
107,Mike Leigh,1943.0,GB
108,Julian Schnabel,1951.0,US
110,Nanni Moretti,1953.0,IT
111,Mariano Llinás,1975.0,AR
112,Hsiao-Hsien Hou,1947.0,CN
113,Clint Eastwood,1930.0,US
114,Andrey Zvyagintsev,1964.0,RU
115,Jacques Audiard,1952.0,FR
116,Abdellatif Kechiche,1960.0,TN
117,Ousmane Sembene,1923.0,SN
118,Juan José Campanella,1959.0,AR
119,Catherine Breillat,1948.0,FR
120,J.A. Bayona,1975.0,ES
121,Thomas Vinterberg,1969.0,DK
122,Harmony Korine,1973.0,US
123,Guy Maddin,1956.0,CA
124,Roman Polanski,1933.0,FR
125,Baz Luhrmann,1962.0,AU
126,George Lucas,1944.0,US
127,Stephanie Spray,,
128,Pacho Velez,,
129,Roy Andersson,1943.0,SE
130,Jihan El-Tahri,,
131,Mahamat-Saleh Haroun,1961.0,TD
132,Ngozi Onwurah,1964.0,NG
133,Bazi Gete,,
134,Jean-Marie Téno,1954.0,CM
135,Andrew Dosunmu,,
136,Khalo Matabane,1974.0,ZA
137,Amma Asante,1969.0,GB
138,Jean-Pierre Dardenne,1951.0,BE
139,Luc Dardenne,1954.0,BE
140,Gaspar Noé,1963.0,AR
141,Mira Nair,1957.0,IN
142,László Nemes,1977.0,HU
143,Raam Reddy,,
144,Danis Tanovic,1969.0,MK
145,Josephine Decker,,
146,Ben Safdie,,
147,Joshua Safdie,1984.0,US
148,Miranda July,1974.0,US
149,Sara Fattahi,,
150,Avi Nesher,1953.0,IL
151,Joseph Cedar,1968.0,US
152,Eytan Fox,1964.0,US
153,Jennifer Kent,,
154,Ki-duk Kim,1960.0,KR
155,Aleksandr Sokurov,1951.0,RU
156,Pete Docter,1968.0,US
157,Ronnie Del Carmen,1959.0,PH
158,Vincent Paronnaud,1970.0,FR
