id,title,release_year,rating,duration
0,Mulholland Drive,2001,8.0,147
1,In the Mood for Love,2000,8.1,98
2,The Tree of Life,2011,6.8,139
3,Yi Yi: A One and a Two,2000,8.1,173
4,Goodbye to Language,2014,5.9,70
5,The White Meadows,2009,7.7,92
6,Night Across the Street,2012,6.1,110
7,Certified Copy,2010,7.3,106
8,Sparrow,2008,6.7,87
9,Fados,2007,7.2,90
10,Eternal Sunshine of the Spotless Mind,2004,8.3,108
11,Syndromes and a Century,2006,7.5,105
12,Spirited Away,2001,8.6,125
13,The Act of Killing,2012,8.2,115
14,The Grand Budapest Hotel,2014,8.1,99
16,The World,2004,7.1,143
17,Elephant,2003,7.2,81
18,Zero Dark Thirty,2012,7.4,157
19,A History of Violence,2005,7.5,96
20,Stories We Tell,2012,7.6,108
21,Casino Royale,2006,8.0,144
22,Tabu,2012,7.4,118
23,Snow White,2012,7.5,104
24,Frozen River,2008,7.2,97
25,Gosford Park,2001,7.3,131
26,Inception,2010,8.8,148
27,Pan's Labyrinth,2006,8.2,118
28,Caché,2005,7.3,117
29,Grizzly Man,2005,7.8,103
30,"4 Months, 3 Weeks & 2 Days",2007,7.9,113
31,Holy Motors,2012,7.1,115
32,The Last of the Unjust,2013,7.1,220
33,There Will Be Blood,2007,8.1,158
34,The Piano Teacher,2001,7.4,131
35,Margaret,2011,6.5,150
36,American Psycho,2000,7.6,102
37,Lourdes,2009,6.9,96
38,Red Road,2006,6.8,113
39,Boyhood,2014,7.9,165
40,Tony Manero,2008,6.8,97
41,No Country For Old Men,2007,8.1,122
42,A Separation,2011,8.4,123
43,Finding Nemo,2003,8.1,100
44,Hero,2002,7.9,107
45,The Wolf of Wall Street,2013,8.2,180
46,Mother,2009,7.8,129
47,The Bourne Ultimatum,2007,8.1,115
48,Traffic,2000,7.6,147
49,These Encounters of Theirs,2006,6.9,68
50,Vincere,2009,6.9,128
51,Le quattro volte,2010,7.2,88
52,The Profession of Arms,2001,7.0,105
53,Gostanza da Libbiano,2000,7.2,93
54,Storia di una donna amata e di un assassino gentile,2009,,138
55,At the First Breath of Wind,2003,7.2,85
56,Sangue,2013,5.8,92
57,Terra,2015,8.5,97
58,Oh! Man,2004,7.2,71
59,"Synecdoche, New York",2008,7.5,124
60,Black Swan,2010,8.0,108
61,The Comedy,2012,6.5,95
62,Melancholia,2011,7.1,135
63,Inglourious Basterds,2009,8.3,153
64,Inside Llewyn Davis,2013,7.4,104
65,Only Lovers Left Alive,2013,7.3,123
66,The Congress,2013,6.5,122
67,The Master,2012,7.1,144
68,25th Hour,2002,7.7,135
69,24 Hour Party People,2002,7.4,117
70,Once Upon a Time in Anatolia,2011,7.8,157
71,Zodiac,2007,7.7,157
72,A Serious Man,2009,7.0,106
73,Tinker Tailor Soldier Spy,2011,7.1,122
74,Primer,2004,6.9,77
75,"La commune (Paris, 1871)",2000,8.0,345
76,Uncle Boonmee Who Can Recall His Past Lives,2010,6.6,114
77,2046,2004,7.5,129
78,Adaptation,2002,7.7,114
79,Battle in Heaven,2005,5.7,98
80,Inland Empire,2006,7.0,180
81,Mysteries of Lisbon,2010,7.5,272
82,Children of Men,2006,7.9,109
83,City of God,2002,8.7,130
84,The Incredibles,2004,8.0,115
85,Birdman,2014,4.9,13
86,Brokeback Mountain,2005,7.7,134
87,12 Years a Slave,2013,8.1,134
88,Fish Tank,2009,7.3,123
89,Mommy,2014,8.1,139
90,Talk to Her,2002,8.0,112
91,Timbuktu,2014,7.2,97
92,Selma,2014,7.5,128
93,The White Ribbon,2009,7.8,144
94,The Headless Woman,2008,6.5,87
95,The Royal Tenenbaums,2001,7.6,110
96,Far From Heaven,2002,7.4,107
97,Moonrise Kingdom,2012,7.8,94
98,Lost in Translation,2003,7.8,102
99,A Single Man,2009,7.6,99
100,Toy Story 3,2010,8.3,103
101,I Am Love,2009,7.0,120
102,Donnie Darko,2001,8.1,113
103,Inherent Vice,2014,6.7,148
104,Film socialisme,2010,5.8,102
105,This Is the End,2013,6.6,107
106,Somewhere,2010,6.3,97
107,Almayer's Folly,2011,6.5,127
108,The Story of Marie and Julien,2003,7.0,150
109,Bamboozled,2000,6.5,135
110,Under the Skin,2013,6.3,108
111,Anomalisa,2015,7.2,90
112,Madagascar 3: Europe's Most Wanted,2012,6.9,93
113,Another Year,2010,7.3,129
114,The Diving Bell and the Butterfly,2007,8.0,112
115,The Social Network,2010,7.7,120
116,WALL-E,2008,8.4,98
117,The Son's Room,2001,7.4,99
118,Extraordinary Stories,2008,8.2,245
119,The Assassin,2015,6.4,105
120,Million Dollar Baby,2004,8.1,132
121,Leviathan,2014,7.6,140
122,A Touch of Sin,2013,7.2,133
123,Distant,2002,7.7,110
124,The New World,2005,6.7,135
125,A Prophet,2009,7.9,155
126,Blue Is the Warmest Color,2013,7.8,180
127,Moolaadé,2004,7.7,124
128,The Secret in Their Eyes,2009,8.2,129
129,Oldboy,2003,8.4,120
130,Fat Girl,2001,6.5,86
131,The Orphanage,2007,7.5,105
132,The Hunt,2012,8.3,115
133,Spring Breakers,2012,5.3,94
134,My Winnipeg,2007,7.7,80
135,The Ghost Writer,2010,7.2,128
136,Moulin Rouge!,2001,7.6,127
137,Star Wars: Episode III – Revenge of the Sith,2005,7.6,140
138,Manakamana,2013,6.7,118
139,The Curious Case of Benjamin Button,2008,7.8,166
140,"You, The Living",2007,7.5,95
141,Cuba: An African Odyssey,2007,8.3,118
142,"Sexe, gombo et beurre salé",2008,6.4,81
143,Shoot the Messenger,2006,7.0,90
144,Red Leaves,2014,6.8,82
145,The Colonial Misunderstanding,2004,6.8,78
146,Restless City,2011,6.1,80
147,Conversations on a Sunday Afternoon,2005,7.1,80
148,Belle,2013,7.4,100
149,Requiem for a Dream,2000,8.4,102
150,Antichrist,2009,6.6,108
151,The Child,2005,7.5,95
152,Kill Bill: Vol. 1,2003,8.1,111
153,Irreversible,2002,7.4,97
154,Amour,2012,7.9,127
155,Monsoon Wedding,2001,7.4,114
156,Son of Saul,2015,7.5,107
157,Thithi,2015,8.5,123
158,No Man's Land,2001,8.0,98
159,Waltz with Bashir,2008,8.0,90
160,In Praise of Love,2001,6.5,97
161,Like Someone In Love,2012,7.0,109
162,Butter on the Latch,2013,5.6,72
163,Heaven Knows What,2014,6.4,97
164,The Future,2011,6.2,91
165,Coma,2015,6.2,97
166,The Matchmaker,2010,7.3,112
167,Footnote,2011,7.1,107
168,The Son,2002,7.7,99
169,You Can Count On Me,2000,7.7,111
170,Yossi & Jagger,2002,7.2,65
171,"O Brother, Where Art Thou?",2000,7.8,107
172,The Babadook,2014,6.8,93
173,"Spring, Summer, Fall, Winter…and Spring",2003,8.1,103
174,Russian Ark,2002,7.4,99
175,Inside Out,2015,8.2,95
176,Persepolis,2007,8.1,96
177,Mad Max: Fury Road,2015,8.1,120
178,Attack the Block,2011,6.6,88
179,Before Sunset,2004,8.0,80
180,Ratatouille,2007,8.0,111
181,Amores Perros,2000,8.1,154
182,Minority Report,2002,7.7,145
183,Secret Sunshine,2007,7.5,142
184,The Dark Knight,2008,9.0,152
185,35 Shots of Rum,2008,7.1,100
186,The Three Burials of Melquiades Estrada,2005,7.4,121
187,The Blind Swordsman: Zatoichi,2003,7.6,116
188,Dancer in the Dark,2000,8.0,140
189,Tey,2012,6.4,86
190,Sweet Sixteen,2002,7.5,106
191,Ezra,2007,6.5,110
192,Almost Famous,2000,7.9,122
193,Memories of Murder,2003,8.1,132
194,Tropical Malady,2004,7.3,118
195,Hard to Be a God,2013,6.7,177
196,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,84
197,Let the Right One In,2008,8.0,115
198,World of Tomorrow,2015,8.2,17
199,Ex Machina,2015,7.5,12
200,The Avengers,2012,8.1,143
201,Her,2013,8.0,126
202,Kill Bill: Vol. 2,2004,8.0,137
203,Manchester by the Sea,2016,7.9,137
204,The Host,2006,7.0,120
205,District 9,2009,8.0,112
206,Love & Friendship,2016,6.5,90
207,3-Iron,2004,8.1,88
208,Evolution of a Filipino Family,2004,8.0,540
209,Pulse,2001,6.6,118
210,Cave of Forgotten Dreams,2010,7.4,90
211,Heaven's Story,2010,7.3,278
212,"Norte, the End of History",2013,7.5,250
213,"Crouching Tiger, Hidden Dragon",2000,7.9,120
214,The Pianist,2002,8.5,150
215,Lincoln,2012,7.4,150
216,Life of Pi,2012,7.9,127
217,Mystic River,2003,8.0,138
218,American Hustle,2013,7.3,138
219,After the Wedding,2006,7.8,120
220,Memento,2000,8.5,113
221,Gravity,2013,7.8,91
222,The Five Obstructions,2003,7.5,90
223,Ida,2013,7.4,82
224,Nobody Knows,2004,8.1,141
225,Wild Tales,2014,8.1,122
226,Eldorado,2008,6.8,80
227,The Stuart Hall Project,2013,7.0,103
228,A Letter to Nelson Mandela,2013,6.8,85
229,Waiting for Happiness,2002,6.8,90
230,Something Necessary,2013,7.0,85
231,Sembène!,2015,7.6,89
232,5 Broken Cameras,2011,7.8,
233,Hooligan Sparrow,2016,7.3,84
234,7 Letters,2015,8.1,116
235,Weekend,2011,7.7,97
236,How to Survive a Plague,2012,7.6,110
237,American Splendor,2003,7.5,101
238,An Injury to One,2002,7.8,53
239,Love & Basketball,2000,7.2,124
240,It's Such a Beautiful Day,2012,8.3,62
241,Actress,2014,6.1,86
242,Carol,2015,7.2,118
243,The Wind Rises,2013,7.8,126
244,Girl Walk: All Day,2011,8.0,75
245,Collateral,2004,7.6,115
246,Brooklyn,2015,7.5,117
247,Nightcrawler,2014,7.9,118
248,Take Shelter,2011,7.4,120
249,Fantastic Mr Fox,2009,7.8,87
250,Senna,2010,8.6,106
251,Frances Ha,2012,7.4,86
252,Dogtooth,2009,7.3,94
253,A Pigeon Sat on a Branch Reflecting on Existence,2014,7.0,101
254,Katyn,2007,7.1,121
255,Sympathy for Mr Vengeance,2002,7.7,129
256,Still Life,2006,7.3,111
257,Archipelago,2010,6.0,114
258,Divine Intervention,2002,6.6,92
259,Crimson Gold,2003,7.6,95
260,Spider-Man 2,2004,7.3,127
261,Frozen,2013,7.5,102
